archetype_id,class,winrate,popularity
338,PALADIN,57.9,7.0669
569,DEMONHUNTER,57.3,1.5265
574,MAGE,58.4,3.6182
547,MAGE,55.3,0.1039
142,MAGE,49.2,0.0740
56,PRIEST,54,1.2100
162,WARRIOR,56.2,0.7289
544,DRUID,47.8,0.1469
587,DEATHKNIGHT,59.7,10.1088
31,PALADIN,54.6,0.6428
538,WARLOCK,52.4,0.9303
430,DEMONHUNTER,56.4,3.5421
585,ROGUE,46.2,0.3164
545,PRIEST,50.5,0.0596
25,ROGUE,51,1.8325
170,HUNTER,58,1.5600
183,PALADIN,58.4,2.1437
586,WARLOCK,51,2.2426
583,HUNTER,54.5,0.8439
12,DRUID,56.6,0.1165
141,MAGE,54.7,0.2668
548,WARLOCK,57.5,2.5142
2,WARRIOR,50,0.2558
546,WARLOCK,59.5,3.1953
77,MAGE,58.4,0.1510
558,DEMONHUNTER,43.1,0.0614
126,SHAMAN,56.3,0.6166
560,HUNTER,52.4,0.0628
577,DRUID,48.5,0.0598
555,DEATHKNIGHT,53.9,6.2081
199,SHAMAN,49,0.2136
249,PALADIN,59.5,0.0438
202,SHAMAN,50.1,0.4538
557,DEATHKNIGHT,58.9,0.4395
441,MAGE,54.6,1.1092
52,DRUID,55.2,0.6609
36,PRIEST,55.1,1.9924
161,WARRIOR,56.6,0.3748
154,ROGUE,39.6,0.1321
578,DEATHKNIGHT,58.1,0.1044
556,DEATHKNIGHT,59.9,4.2048
563,PRIEST,58.5,12.4041
150,DRUID,55.3,4.9008
396,DEMONHUNTER,49.6,0.8945
211,HUNTER,58.1,0.5786
561,MAGE,48.7,0.2553
276,ROGUE,51.3,5.8127
62,WARLOCK,53.6,0.4968
371,DEMONHUNTER,47.3,0.2374
182,MAGE,59.2,5.8000
570,HUNTER,58,1.2759
390,MAGE,50,0.4797
512,DRUID,52.9,2.5851
198,ROGUE,54.7,1.2840
571,PRIEST,48.1,0.7706
541,DRUID,44.3,0.1914
307,WARLOCK,49.1,0.0977
